"","YY","MM","DD","WTMP","WTMP_K","Date"
"447",94,4,22,1.2125,274.3625,1994-04-22
"448",95,4,22,2.69166666666667,275.841666666667,1995-04-22
"449",93,5,22,3.04583333333333,276.195833333333,1993-05-22
"450",94,5,22,2.66521739130435,275.815217391304,1994-05-22
"451",95,5,22,3.38333333333333,276.533333333333,1995-05-22
"452",93,6,22,5.775,278.925,1993-06-22
"453",94,6,22,13.35,286.5,1994-06-22
"454",95,6,22,15.7416666666667,288.891666666667,1995-06-22
"455",93,7,22,19.1625,292.3125,1993-07-22
"456",94,7,22,16.7391304347826,289.889130434783,1994-07-22
"457",95,7,22,16.7458333333333,289.895833333333,1995-07-22
"458",93,8,22,20.7291666666667,293.879166666667,1993-08-22
"459",94,8,22,18.0833333333333,291.233333333333,1994-08-22
"460",95,8,22,22.7,295.85,1995-08-22
"461",94,9,22,17.7666666666667,290.916666666667,1994-09-22
"462",95,9,22,16.7166666666667,289.866666666667,1995-09-22
"463",93,10,22,10.8666666666667,284.016666666667,1993-10-22
"464",94,10,22,14.1333333333333,287.283333333333,1994-10-22
"465",95,10,22,11.3458333333333,284.495833333333,1995-10-22
"466",93,4,23,2.35833333333333,275.508333333333,1993-04-23
"467",94,4,23,1.54166666666667,274.691666666667,1994-04-23
"468",95,4,23,2.5875,275.7375,1995-04-23
"469",93,5,23,3.09583333333333,276.245833333333,1993-05-23
"470",94,5,23,2.7,275.85,1994-05-23
"471",95,5,23,3.43478260869565,276.584782608696,1995-05-23
"472",93,6,23,7.4,280.55,1993-06-23
"473",94,6,23,13.6086956521739,286.758695652174,1994-06-23
"474",95,6,23,17.475,290.625,1995-06-23
